query_id	passage_id	rel
0	0	1
1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
7	11	1
8	12	1
9	13	1
10	14	1
10	15	1
10	16	1
10	17	1
10	18	1
11	19	1
12	20	1
12	21	1
12	22	1
12	23	1
13	24	1
14	25	1
14	26	1
15	27	1
16	28	1
17	29	1
18	30	1
19	31	1
20	32	1
21	33	1
21	34	1
22	35	1
23	36	1
23	37	1
24	38	1
24	39	1
24	40	1
25	41	1
26	42	1
27	43	1
28	44	1
28	45	1
29	46	1
30	47	1
31	48	1
32	49	1
33	50	1
34	51	1
35	52	1
35	53	1
35	54	1
35	55	1
35	56	1
35	57	1
35	58	1
35	59	1
35	60	1
35	61	1
36	62	1
37	63	1
37	64	1
37	65	1
37	66	1
38	67	1
39	68	1
39	69	1
39	70	1
39	71	1
39	72	1
39	73	1
39	74	1
40	75	1
40	76	1
41	77	1
42	78	1
43	79	1
43	80	1
43	81	1
43	57	1
43	82	1
43	60	1
43	83	1
43	61	1
43	84	1
43	85	1
44	86	1
45	87	1
45	88	1
45	89	1
45	90	1
45	91	1
46	92	1
47	93	1
48	94	1
49	95	1
50	96	1
50	97	1
50	98	1
50	99	1
50	100	1
50	101	1
50	102	1
50	103	1
50	104	1
50	105	1
51	106	1
52	107	1
52	108	1
52	109	1
52	110	1
52	111	1
52	112	1
52	113	1
52	114	1
52	115	1
52	116	1
53	117	1
53	118	1
53	119	1
53	120	1
54	121	1
55	74	1
56	47	1
57	122	1
58	123	1
59	124	1
59	125	1
59	126	1
59	127	1
59	128	1
59	129	1
59	130	1
59	131	1
60	132	1
61	133	1
61	134	1
61	135	1
61	136	1
61	137	1
61	138	1
61	139	1
61	140	1
62	141	1
63	142	1
64	143	1
65	144	1
66	145	1
67	146	1
67	147	1
67	148	1
67	149	1
67	150	1
67	151	1
67	152	1
67	153	1
67	154	1
67	155	1
68	156	1
68	157	1
68	158	1
68	159	1
69	160	1
70	161	1
71	162	1
72	163	1
73	164	1
74	165	1
75	166	1
76	167	1
77	168	1
78	169	1
78	170	1
78	171	1
78	172	1
78	173	1
78	174	1
78	175	1
78	176	1
78	177	1
78	178	1
79	179	1
80	87	1
80	88	1
80	89	1
80	90	1
80	91	1
81	180	1
81	181	1
81	182	1
81	183	1
81	184	1
81	185	1
81	186	1
81	187	1
81	188	1
81	189	1
82	190	1
82	191	1
83	192	1
83	193	1
83	194	1
83	195	1
83	196	1
84	197	1
85	198	1
85	199	1
85	200	1
85	201	1
85	202	1
86	203	1
86	204	1
87	205	1
88	206	1
88	207	1
88	208	1
88	209	1
88	210	1
88	211	1
88	212	1
88	213	1
88	202	1
89	214	1
89	215	1
89	216	1
89	217	1
89	218	1
89	219	1
89	220	1
89	221	1
89	222	1
89	223	1
90	181	1
90	224	1
90	225	1
90	226	1
90	187	1
90	227	1
90	228	1
90	229	1
90	230	1
90	231	1
91	232	1
91	213	1
91	233	1
92	234	1
92	235	1
92	236	1
92	237	1
92	238	1
92	239	1
92	240	1
92	241	1
92	242	1
92	243	1
93	244	1
93	245	1
93	246	1
93	247	1
93	248	1
94	249	1
95	250	1
96	251	1
96	252	1
97	253	1
98	254	1
99	255	1
100	256	1
101	257	1
101	258	1
102	259	1
103	260	1
104	261	1
105	262	1
106	263	1
107	264	1
107	59	1
107	142	1
108	265	1
108	266	1
108	267	1
108	268	1
108	269	1
108	270	1
108	271	1
108	272	1
108	273	1
108	274	1
109	275	1
109	276	1
109	277	1
109	278	1
110	41	1
110	279	1
110	280	1
110	281	1
111	282	1
111	283	1
111	284	1
111	285	1
111	286	1
111	287	1
111	288	1
111	289	1
111	290	1
111	291	1
112	292	1
113	293	1
114	294	1
115	295	1
116	249	1
117	296	1
117	297	1
118	298	1
119	299	1
119	300	1
120	301	1
121	302	1
121	303	1
121	304	1
122	305	1
123	306	1
124	307	1
125	308	1
126	309	1
127	310	1
128	311	1
129	312	1
129	313	1
129	249	1
129	314	1
130	315	1
130	49	1
130	316	1
130	317	1
130	318	1
131	319	1
132	320	1
133	321	1
134	76	1
134	322	1
135	323	1
135	324	1
135	199	1
135	325	1
135	326	1
135	327	1
135	328	1
135	329	1
135	330	1
135	331	1
136	332	1
137	333	1
138	334	1
138	335	1
138	336	1
138	337	1
138	338	1
139	339	1
139	340	1
139	341	1
140	342	1
140	287	1
140	343	1
141	344	1
142	345	1
143	121	1
144	346	1
144	347	1
144	348	1
144	349	1
144	350	1
144	351	1
144	352	1
144	353	1
144	354	1
144	355	1
145	356	1
146	357	1
147	358	1
148	359	1
149	360	1
150	361	1
150	362	1
150	363	1
151	364	1
152	365	1
152	366	1
152	367	1
152	368	1
152	369	1
152	370	1
152	371	1
152	372	1
152	373	1
152	374	1
153	375	1
153	376	1
153	377	1
153	378	1
153	379	1
153	380	1
153	381	1
153	382	1
153	383	1
154	384	1
155	385	1
155	386	1
155	387	1
155	388	1
155	389	1
155	390	1
155	391	1
155	392	1
155	393	1
155	394	1
156	117	1
156	118	1
156	119	1
156	120	1
157	395	1
157	396	1
157	397	1
157	398	1
157	399	1
157	400	1
157	401	1
157	402	1
158	403	1
158	404	1
158	405	1
158	406	1
158	407	1
158	408	1
158	409	1
158	410	1
158	411	1
158	412	1
159	413	1
160	414	1
160	415	1
161	416	1
161	417	1
162	418	1
163	419	1
164	420	1
165	421	1
166	422	1
167	423	1
168	424	1
169	425	1
170	426	1
170	427	1
170	428	1
171	429	1
172	430	1
173	431	1
174	432	1
175	433	1
176	434	1
176	435	1
176	436	1
176	437	1
176	438	1
176	439	1
176	440	1
176	441	1
177	442	1
177	443	1
177	444	1
178	445	1
178	446	1
178	447	1
178	19	1
178	448	1
178	449	1
178	450	1
179	451	1
180	452	1
181	453	1
182	454	1
183	455	1
184	456	1
184	457	1
184	458	1
184	459	1
184	460	1
185	461	1
185	202	1
186	462	1
187	463	1
188	464	1
189	465	1
189	466	1
189	467	1
189	468	1
190	469	1
190	470	1
191	471	1
192	368	1
192	472	1
192	369	1
193	47	1
194	473	1
195	474	1
196	475	1
197	142	1
198	476	1
198	477	1
199	478	1
200	479	1
201	480	1
202	481	1
203	482	1
204	483	1
205	484	1
206	485	1
206	486	1
206	487	1
206	488	1
206	489	1
206	490	1
206	491	1
206	492	1
206	493	1
206	494	1
207	36	1
208	495	1
209	496	1
210	445	1
210	446	1
210	447	1
210	19	1
210	448	1
210	449	1
210	450	1
211	497	1
212	498	1
213	499	1
214	500	1
215	501	1
215	502	1
216	503	1
217	504	1
217	505	1
217	506	1
218	287	1
219	507	1
219	508	1
219	509	1
219	510	1
219	511	1
219	512	1
219	513	1
219	514	1
219	515	1
220	312	1
221	516	1
222	517	1
223	518	1
224	255	1
225	519	1
226	369	1
227	520	1
227	521	1
228	522	1
229	523	1
229	524	1
229	525	1
229	526	1
229	527	1
229	528	1
229	529	1
229	530	1
230	25	1
231	531	1
232	532	1
232	533	1
232	534	1
232	535	1
232	536	1
232	537	1
232	538	1
232	539	1
232	540	1
232	541	1
233	542	1
234	543	1
234	544	1
234	545	1
234	546	1
234	547	1
234	39	1
234	548	1
234	549	1
235	47	1
236	550	1
237	551	1
238	552	1
239	553	1
240	554	1
241	555	1
242	556	1
243	557	1
243	142	1
243	254	1
244	558	1
244	559	1
244	560	1
244	561	1
244	562	1
244	563	1
244	564	1
244	565	1
244	566	1
244	567	1
245	568	1
246	569	1
247	570	1
248	571	1
249	572	1
250	52	1
251	573	1
251	316	1
251	574	1
251	575	1
251	318	1
251	576	1
251	577	1
251	49	1
251	578	1
251	579	1
252	580	1
253	581	1
254	582	1
254	251	1
254	368	1
255	583	1
256	584	1
257	585	1
258	586	1
258	587	1
258	588	1
259	589	1
260	590	1
261	142	1
262	591	1
262	592	1
262	593	1
262	594	1
262	595	1
262	596	1
262	597	1
262	598	1
262	599	1
262	600	1
263	601	1
264	60	1
265	602	1
265	603	1
265	604	1
265	605	1
265	606	1
265	607	1
265	608	1
265	609	1
265	610	1
265	611	1
266	612	1
267	613	1
268	614	1
269	615	1
270	616	1
270	574	1
270	617	1
270	618	1
271	619	1
271	620	1
272	621	1
272	622	1
272	623	1
272	624	1
272	625	1
272	626	1
272	627	1
272	628	1
272	629	1
272	630	1
273	631	1
274	632	1
275	633	1
276	634	1
277	635	1
278	636	1
279	637	1
279	638	1
279	71	1
279	639	1
279	73	1
279	640	1
280	641	1
280	642	1
280	643	1
280	644	1
280	645	1
281	646	1
282	647	1
283	648	1
284	649	1
285	650	1
286	651	1
287	652	1
288	653	1
289	654	1
290	655	1
291	287	1
291	656	1
292	657	1
293	658	1
294	36	1
295	659	1
296	660	1
297	430	1
298	661	1
299	662	1
299	663	1
300	664	1
301	665	1
301	666	1
301	667	1
301	668	1
301	669	1
301	670	1
301	671	1
301	672	1
301	673	1
301	674	1
302	142	1
303	675	1
303	323	1
303	676	1
303	677	1
303	199	1
303	327	1
303	328	1
303	678	1
303	679	1
304	519	1
305	288	1
305	287	1
305	680	1
305	681	1
305	682	1
305	294	1
305	683	1
306	684	1
306	685	1
306	686	1
306	687	1
306	688	1
307	52	1
307	689	1
307	142	1
308	426	1
308	344	1
309	690	1
310	691	1
311	35	1
312	692	1
312	693	1
312	694	1
312	695	1
312	696	1
312	697	1
312	698	1
312	699	1
312	700	1
312	701	1
313	702	1
313	422	1
314	703	1
315	704	1
316	705	1
317	706	1
318	707	1
319	708	1
320	709	1
320	710	1
320	711	1
320	712	1
320	713	1
320	714	1
320	715	1
320	716	1
320	717	1
320	718	1
321	719	1
322	720	1
323	721	1
323	722	1
324	723	1
325	724	1
326	725	1
326	726	1
326	727	1
326	728	1
326	729	1
326	730	1
326	731	1
326	732	1
326	733	1
326	734	1
327	735	1
327	736	1
328	737	1
328	738	1
328	739	1
328	740	1
328	741	1
328	742	1
328	743	1
328	744	1
328	745	1
328	746	1
329	632	1
330	747	1
331	748	1
332	87	1
333	749	1
333	426	1
333	750	1
334	751	1
335	752	1
336	753	1
337	754	1
337	755	1
337	756	1
338	757	1
338	758	1
338	759	1
338	760	1
338	761	1
338	762	1
338	763	1
338	764	1
338	765	1
338	766	1
339	767	1
340	768	1
341	769	1
342	770	1
343	771	1
344	772	1
345	773	1
346	774	1
347	775	1
348	776	1
348	777	1
349	692	1
349	693	1
349	694	1
349	695	1
349	696	1
349	697	1
349	698	1
349	699	1
349	700	1
349	701	1
350	778	1
351	779	1
352	780	1
353	781	1
353	782	1
353	783	1
354	784	1
355	785	1
356	786	1
357	787	1
358	788	1
359	79	1
359	80	1
359	81	1
359	57	1
359	82	1
359	60	1
359	83	1
359	61	1
359	84	1
359	85	1
360	789	1
360	790	1
360	791	1
360	81	1
360	792	1
360	58	1
360	793	1
360	794	1
360	80	1
360	82	1
361	795	1
361	796	1
361	797	1
361	798	1
361	799	1
361	800	1
361	801	1
361	802	1
361	803	1
361	804	1
362	805	1
363	806	1
364	807	1
364	808	1
365	31	1
366	809	1
366	810	1
366	811	1
366	812	1
366	813	1
366	814	1
367	815	1
368	816	1
368	817	1
368	818	1
369	819	1
370	820	1
371	368	1
371	472	1
371	369	1
372	821	1
373	385	1
373	386	1
373	387	1
373	388	1
373	389	1
373	390	1
373	391	1
373	392	1
373	393	1
373	394	1
374	822	1
374	584	1
375	345	1
376	823	1
376	824	1
376	825	1
376	826	1
376	827	1
376	828	1
376	829	1
376	830	1
376	831	1
376	832	1
377	833	1
378	834	1
378	835	1
378	836	1
378	837	1
378	70	1
378	81	1
378	56	1
378	61	1
378	791	1
378	82	1
379	838	1
379	839	1
379	840	1
380	282	1
380	283	1
380	284	1
380	841	1
380	842	1
381	843	1
382	631	1
383	844	1
384	845	1
385	6	1
386	846	1
387	847	1
388	848	1
388	849	1
388	850	1
388	851	1
388	852	1
388	853	1
388	854	1
389	855	1
390	856	1
391	857	1
391	858	1
391	859	1
391	860	1
391	861	1
391	862	1
391	863	1
391	864	1
391	865	1
391	866	1
392	867	1
393	868	1
394	869	1
395	870	1
396	871	1
397	872	1
398	873	1
399	874	1
399	288	1
399	287	1
400	496	1
400	581	1
401	875	1
401	876	1
402	79	1
402	877	1
402	54	1
402	81	1
402	56	1
402	878	1
402	791	1
402	60	1
402	498	1
402	85	1
403	197	1
404	879	1
405	880	1
405	419	1
405	881	1
405	882	1
406	582	1
406	251	1
406	883	1
407	884	1
408	885	1
409	886	1
410	887	1
411	888	1
412	889	1
412	890	1
412	891	1
412	892	1
412	893	1
412	894	1
412	895	1
412	896	1
412	897	1
412	599	1
413	637	1
413	69	1
413	898	1
413	70	1
413	899	1
413	900	1
413	635	1
413	901	1
413	59	1
413	902	1
414	903	1
415	904	1
416	905	1
417	906	1
418	907	1
418	908	1
419	909	1
419	816	1
419	451	1
419	910	1
420	911	1
421	333	1
421	912	1
421	81	1
421	82	1
421	58	1
421	60	1
421	794	1
421	61	1
421	913	1
421	914	1
422	915	1
423	422	1
424	581	1
425	916	1
426	917	1
427	918	1
428	919	1
428	920	1
429	921	1
430	922	1
431	923	1
432	924	1
433	925	1
434	926	1
435	927	1
436	928	1
437	929	1
437	930	1
438	931	1
439	932	1
440	933	1
441	934	1
441	935	1
441	233	1
442	936	1
443	937	1
443	938	1
443	939	1
443	940	1
443	941	1
443	942	1
443	943	1
443	944	1
443	945	1
443	946	1
444	947	1
445	948	1
446	949	1
447	950	1
448	951	1
449	952	1
450	953	1
451	954	1
452	955	1
453	956	1
453	957	1
454	958	1
455	959	1
455	960	1
455	961	1
455	962	1
455	963	1
455	964	1
455	965	1
455	966	1
455	967	1
456	968	1
457	969	1
458	970	1
459	971	1
459	972	1
459	973	1
460	974	1
461	975	1
461	976	1
461	548	1
461	977	1
461	978	1
461	979	1
461	980	1
461	981	1
461	982	1
461	983	1
462	984	1
463	232	1
463	287	1
464	35	1
465	985	1
465	986	1
466	333	1
467	987	1
467	988	1
468	989	1
469	990	1
470	991	1
471	992	1
472	993	1
472	994	1
472	995	1
472	996	1
472	997	1
472	998	1
472	999	1
473	205	1
473	1000	1
473	551	1
474	1001	1
475	1002	1
476	557	1
476	1003	1
476	1004	1
477	1005	1
478	1006	1
479	1007	1
480	142	1
480	1008	1
481	1009	1
482	1010	1
483	1011	1
483	1012	1
483	1013	1
483	1014	1
483	1015	1
483	1016	1
483	1017	1
483	1018	1
483	1019	1
483	1020	1
484	1021	1
485	1022	1
486	1023	1
487	847	1
488	816	1
488	1024	1
488	818	1
488	1025	1
488	1026	1
489	281	1
490	180	1
491	1027	1
492	1028	1
493	1029	1
493	1030	1
493	1031	1
493	1032	1
493	1033	1
